semana_fin,pais,casos_semana,factor_crec_7d
2020-06-24,Argentina,17217.0,1.4733013862741742
2020-06-25,Argentina,17942.0,1.4558584875040572
2020-06-26,Argentina,18737.0,1.4857663944175719
2020-06-27,Argentina,18811.0,1.3898042113040265
2020-06-28,Argentina,19007.0,1.3528113879003558
2020-06-29,Argentina,19214.0,1.2517263843648208
2020-06-30,Argentina,19409.0,1.1989004879856693
2020-07-01,Argentina,19265.0,1.1189521984085498
2020-07-02,Argentina,19338.0,1.077806264630476
2020-07-03,Argentina,19630.0,1.0476597107327748
2020-07-04,Argentina,19742.0,1.0494923183243847
2020-07-05,Argentina,20195.0,1.0625032882622192
2020-07-06,Argentina,21196.0,1.1031539502446133
2020-07-07,Argentina,22331.0,1.1505487145138853
2020-07-08,Argentina,23385.0,1.2138593303919025
2020-07-09,Argentina,23633.0,1.2221015616920055
2020-07-10,Argentina,23834.0,1.2141619969434538
2020-07-11,Argentina,24641.0,1.2481511498328437
2020-07-12,Argentina,24971.0,1.2364941817281505
2020-07-13,Argentina,25533.0,1.2046140781279486
2020-07-14,Argentina,26199.0,1.1732121266400968
2020-07-15,Argentina,26848.0,1.148086380158221
2020-07-16,Argentina,28545.0,1.2078449625523633
2020-07-17,Argentina,30062.0,1.261307376017454
2020-07-18,Argentina,30410.0,1.2341219918022808
2020-07-19,Argentina,31572.0,1.2643466421048417
2020-07-20,Argentina,32880.0,1.28774527082599
2020-07-21,Argentina,34245.0,1.307110958433528
2020-07-22,Argentina,36129.0,1.3456868295589988
2020-07-23,Argentina,37176.0,1.3023646873357857
2020-07-24,Argentina,38386.0,1.2768944182023818
2020-07-25,Argentina,39334.0,1.293456099967116
2020-07-26,Argentina,39247.0,1.2430951475991385
2020-07-27,Argentina,39817.0,1.2109793187347933
2020-07-28,Argentina,40192.0,1.1736603883778653
2020-07-29,Argentina,40299.0,1.1154197459104873
2020-07-30,Argentina,40734.0,1.0957069076823758
2020-07-31,Argentina,41124.0,1.07132808836555
2020-08-01,Argentina,41099.0,1.0448721208115117
2020-08-02,Argentina,41965.0,1.0692537009198155
2020-08-03,Argentina,43280.0,1.0869729010221765
2020-08-04,Argentina,45895.0,1.1418939092356688
2020-08-05,Argentina,47457.0,1.177622273505546
2020-08-06,Argentina,49755.0,1.221461187214612
2020-08-07,Argentina,50911.0,1.2379875498492365
2020-08-08,Argentina,51277.0,1.2476459281247718
2020-08-09,Argentina,51641.0,1.2305730966281425
2020-08-10,Argentina,51765.0,1.1960489833641406
2020-08-11,Argentina,50551.0,1.1014489595816537
2020-08-12,Argentina,49955.0,1.052637124133426
2020-08-13,Argentina,48520.0,0.9751783740327605
2020-08-14,Argentina,48467.0,0.9519946573432068
2020-08-15,Argentina,49100.0,0.9575443181153344
2020-08-16,Argentina,48677.0,0.9426037450862687
2020-08-17,Argentina,46287.0,0.8941756012749927
2020-08-18,Argentina,46560.0,0.9210500286839034
2020-08-19,Argentina,47897.0,0.9588029226303674
2020-08-20,Argentina,49024.0,1.0103874690849135
2020-08-21,Argentina,49982.0,1.0312583819918708
2020-08-22,Argentina,51012.0,1.0389409368635438
2020-08-23,Argentina,51183.0,1.05148221952873
2020-08-24,Argentina,56039.0,1.2106855056495345
2020-08-25,Argentina,58188.0,1.2497422680412371
2020-08-26,Argentina,60668.0,1.2666346535273607
2020-08-27,Argentina,63521.0,1.2957123041775458
2020-08-28,Argentina,66021.0,1.3208955223880596
2020-08-29,Argentina,67569.0,1.3245706892495883
2020-08-30,Argentina,68979.0,1.3476935701307076
2020-08-31,Argentina,70300.0,1.2544834847160014
2020-09-01,Argentina,71437.0,1.2276929951192685
2020-09-02,Argentina,71207.0,1.1737159622865432
2020-09-03,Argentina,71301.0,1.122479180113663
2020-09-04,Argentina,71756.0,1.0868663001166297
2020-09-05,Argentina,72158.0,1.067915760185884
2020-09-06,Argentina,72320.0,1.048435030951449
2020-09-07,Argentina,72788.0,1.0353911806543385
2020-09-08,Argentina,74230.0,1.0390973865083921
2020-09-09,Argentina,75547.0,1.0609490639965171
2020-09-10,Argentina,76888.0,1.078357947293867
2020-09-11,Argentina,77763.0,1.0837142538603044
2020-09-12,Argentina,77611.0,1.075570276338036
2020-09-13,Argentina,78158.0,1.0807245575221238
2020-09-14,Argentina,78280.0,1.075451997582019
2020-09-15,Argentina,77365.0,1.04223359827563
2020-09-16,Argentina,77220.0,1.022145154671926
2020-09-17,Argentina,76464.0,0.9944854853813339
2020-09-18,Argentina,76076.0,0.9783058781168422
2020-09-19,Argentina,75998.0,0.9792168635889242
2020-09-20,Argentina,75330.0,0.9638168837483048
2020-09-21,Argentina,74110.0,0.946729688298416
2020-09-22,Argentina,75104.0,0.9707748982097848
2020-09-23,Argentina,76301.0,0.9880989380989381
2020-09-24,Argentina,77553.0,1.0142419962335216
2020-09-25,Argentina,79491.0,1.0448893212051107
2020-09-26,Argentina,80494.0,1.0591594515645149
2020-09-27,Argentina,81712.0,1.0847205628567635
2020-09-28,Argentina,85655.0,1.155781945756308
2020-09-29,Argentina,86588.0,1.152907967618236
2020-09-30,Argentina,87370.0,1.1450701825664147
2020-10-01,Argentina,88337.0,1.139053292587005
2020-10-02,Argentina,88370.0,1.1116981796681384
2020-10-03,Argentina,87607.0,1.08836683479514
2020-10-04,Argentina,87054.0,1.065375954572156
2020-10-05,Argentina,86552.0,1.010472243301617
2020-10-06,Argentina,87987.0,1.0161569732526448
2020-10-07,Argentina,88272.0,1.0103239098088588
2020-10-08,Argentina,91066.0,1.030893057269321
2020-10-09,Argentina,91474.0,1.0351250424352156
2020-10-10,Argentina,93955.0,1.072459963244946
2020-10-11,Argentina,96217.0,1.1052565074551428
2020-10-12,Argentina,91647.0,1.0588663462427212
2020-10-13,Argentina,92795.0,1.05464443610988
2020-10-14,Argentina,95055.0,1.076842033713975
2020-10-15,Argentina,94964.0,1.0428041200887268
2020-10-16,Argentina,97520.0,1.0660952839058093
2020-10-17,Argentina,97884.0,1.041817891543824
2020-10-18,Argentina,95982.0,0.997557604165584
2020-10-19,Argentina,102871.0,1.1224699117265158
2020-10-20,Argentina,102999.0,1.109962821272698
2020-10-21,Argentina,102123.0,1.0743569512387565
2020-10-22,Argentina,100418.0,1.057432290130997
2020-10-23,Argentina,98194.0,1.0069114027891715
2020-10-24,Argentina,97989.0,1.0010726982959421
2020-10-25,Argentina,97588.0,1.0167323039736618
2020-10-26,Argentina,94694.0,0.9205120976757298
2020-10-27,Argentina,92294.0,0.8960669521063311
2020-10-28,Argentina,90626.0,0.8874200718741125
2020-10-29,Argentina,88146.0,0.8777908343125734
2020-10-30,Argentina,85928.0,0.8750840173534025
2020-10-31,Argentina,82607.0,0.8430231964812377
2020-11-01,Argentina,81504.0,0.8351846538508833
2020-11-02,Argentina,79422.0,0.8387226223414366
2020-11-03,Argentina,76549.0,0.8294038615728
2020-11-04,Argentina,72420.0,0.7991084236311875
2020-11-05,Argentina,72740.0,0.8252217911192794
2020-11-06,Argentina,72866.0,0.8479890140582813
2020-11-07,Argentina,71686.0,0.8677957073855727
2020-11-08,Argentina,70725.0,0.8677488221436984
2020-11-09,Argentina,70014.0,0.881544156530936
2020-11-10,Argentina,70133.0,0.9161844047603496
2020-11-11,Argentina,72058.0,0.9950013808340238
2020-11-12,Argentina,70660.0,0.9714050041242782
2020-11-13,Argentina,68319.0,0.9375977822303955
2020-11-14,Argentina,67717.0,0.9446335407192479
2020-11-15,Argentina,67129.0,0.9491551785083068
2020-11-16,Argentina,66447.0,0.9490530465335504
2020-11-17,Argentina,65182.0,0.9294055580112073
2020-11-18,Argentina,62849.0,0.8722001720835993
2020-11-19,Argentina,61084.0,0.8644777809227285
2020-11-20,Argentina,60013.0,0.8784232790292598
2020-11-21,Argentina,58976.0,0.8709186762555932
2020-11-22,Argentina,57887.0,0.8623247776668802
2020-11-23,Argentina,52249.0,0.786325943985432
2020-11-24,Argentina,51148.0,0.7846951612408334
2020-11-25,Argentina,50165.0,0.7981829464271508
2020-11-26,Argentina,48422.0,0.7927116757252308
2020-11-27,Argentina,46684.0,0.7778981220735507
2020-11-28,Argentina,46687.0,0.7916271025501899
2020-11-29,Argentina,48034.0,0.829789071812324
2020-11-30,Argentina,51228.0,0.9804589561522709
2020-12-01,Argentina,49894.0,0.975482912332838
2020-12-02,Argentina,48198.0,0.9607893949965115
2020-12-03,Argentina,47562.0,0.982239477923258
2020-12-04,Argentina,45928.0,0.9838060149087482
2020-12-05,Argentina,44812.0,0.9598389273245229
2020-12-06,Argentina,42762.0,0.890244410209435
2020-12-07,Argentina,38365.0,0.7489068478175998
2020-12-08,Argentina,33784.0,0.677115484827835
2020-12-09,Argentina,33665.0,0.6984729656832234
2020-12-10,Argentina,33419.0,0.7026407636348345
2020-12-11,Argentina,34425.0,0.7495427625849155
2020-12-12,Argentina,34437.0,0.7684771936088548
2020-12-13,Argentina,35314.0,0.8258266685374865
2020-12-14,Argentina,39122.0,1.0197315261305877
2020-12-15,Argentina,43492.0,1.28735496092825
2020-12-16,Argentina,43746.0,1.2994504678449428
2020-12-17,Argentina,43928.0,1.3144618330889615
2020-12-18,Argentina,44315.0,1.287291212781409
2020-12-19,Argentina,45197.0,1.3124546272904143
2020-12-20,Argentina,45454.0,1.2871382454550604
2020-12-21,Argentina,47197.0,1.2064056029855323
2020-12-22,Argentina,48537.0,1.1159983445231307
2020-12-23,Argentina,49783.0,1.1380011886801078
2020-12-24,Argentina,47708.0,1.0860498998360955
2020-12-25,Argentina,42688.0,0.9632855692203542
2020-12-26,Argentina,43794.0,0.9689581166891608
2020-12-27,Argentina,44863.0,0.9869978439741277
2020-12-28,Argentina,48019.0,1.017416361209399
2020-12-29,Argentina,51707.0,1.0653109998557801
2020-12-30,Argentina,55725.0,1.1193580137798043
2020-12-31,Argentina,57281.0,1.2006581705374362
