Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Rwanda,2024-06-17,250.2864,40.939327,540.0629,10.753813
Saint Kitts and Nevis,2024-06-17,462.73105,367.5825,552.8067,98.51162
Saint Lucia,2024-06-17,290.66034,161.44118,704.8075,229.37448
Saint Vincent and the Grenadines,2024-06-17,262.46048,82.0311,451.0321,121.55433
Samoa,2024-06-17,22.454542,-134.89244,273.41055,14.403598
San Marino,2024-06-17,455.77664,413.5079,478.35294,369.87024
Sao Tome and Principe,2024-06-17,107.64291,-23.132032,437.16486,35.356773
Saudi Arabia,2024-06-17,94.69169,26.7537,287.1133,29.979517
Senegal,2024-06-17,173.61223,22.89885,401.87927,11.166477
Serbia,2024-06-17,856.9464,848.9007,867.1239,265.8893
Seychelles,2024-06-17,-36.233593,-157.59813,77.65834,137.07364
Sierra Leone,2024-06-17,163.88846,-56.657684,414.5428,1.510253
Singapore,2024-06-17,176.51334,150.91087,205.79836,35.824066
Slovakia,2024-06-17,568.3708,556.41156,578.7174,387.8209
Slovenia,2024-06-17,310.498,304.90378,318.813,467.808
Solomon Islands,2024-06-17,151.43584,-86.271736,365.29333,25.479305
Somalia,2024-06-17,219.8706,38.316902,467.00247,7.6452737
South Africa,2024-06-17,511.42618,485.68393,531.50745,164.47206
South Korea,2024-06-17,190.45166,125.33026,205.236,69.394135
South Sudan,2024-06-17,185.70506,51.516468,468.2981,1.3338012
Spain,2024-06-17,384.46933,372.79443,384.46933,254.76945
Sri Lanka,2024-06-17,298.9693,51.216827,443.491,74.02699
Sudan,2024-06-17,336.6847,153.68433,608.6794,10.21803
Suriname,2024-06-17,337.73346,254.70692,527.66077,225.63582
Sweden,2024-06-17,249.27559,219.07164,251.5306,260.51538
Switzerland,2024-06-17,299.07022,288.57288,299.07022,161.1669
Syria,2024-06-17,135.5237,26.89987,448.7026,14.081486
Taiwan,2024-06-17,183.67606,176.08208,183.92944,
Tajikistan,2024-06-17,241.92934,109.533844,357.0192,1.2276343
Tanzania,2024-06-17,275.358,25.049576,476.85785,1.3073355
Thailand,2024-06-17,314.07788,308.74808,318.3047,48.32351
Togo,2024-06-17,184.92943,-2.3365254,474.85052,3.1904268
Tonga,2024-06-17,-2.997698,-164.10231,344.02216,11.427265
Trinidad and Tobago,2024-06-17,360.14594,245.82233,797.91223,293.4751
Tunisia,2024-06-17,226.85114,174.94904,554.4513,242.77837
